;;;0.2;0.2;0.2;0.2;0.2
Rank;Overall score;Country;Electoral process and pluralism;Functioning of government;Political participation;Political culture;Civil liberties
1;9.87;Norway;10;9.64;10;10;9.71
2;9.58;Iceland;10;9.29;8.89;10;9.71
3;9.39;Sweden;9.58;9.64;8.33;10;9.41
4;9.26;New Zealand;10;9.29;8.89;8.13;10
5;9.22;Denmark;10;9.29;8.33;9.38;9.12
6;9.15;Ireland;9.58;7.86;8.33;10;10
6;9.15;Canada;9.58;9.64;7.78;8.75;10
8;9.09;Australia;10;8.93;7.78;8.75;10
9;9.03;Finland;10;8.93;7.78;8.75;9.71
9;9.03;Switzerland;9.58;9.29;7.78;9.38;9.12
11;8.89;Netherlands;9.58;9.29;8.33;8.13;9.12
12;8.81;Luxembourg;10;8.93;6.67;8.75;9.71
13;8.61;Germany;9.58;8.21;8.33;7.5;9.41
14;8.53;United Kingdom;9.58;7.5;8.33;8.13;9.12
15;8.42;Austria;9.58;8.21;8.33;6.88;9.12
16;8.22;Mauritius;9.17;8.21;5.56;8.75;9.41
17;8.15;Malta;9.17;8.21;6.11;8.75;8.53
18;8.12;Uruguay;10;8.93;4.44;7.5;9.71
19;8.08;Spain;9.17;7.14;7.78;7.5;8.82
20;8;South Korea;9.17;7.86;7.22;7.5;8.24
21;7.98;United States of America;9.17;7.14;7.22;8.13;8.24
21;7.98;Italy;9.58;6.43;7.22;8.13;8.53
23;7.88;Japan;8.75;8.21;6.11;7.5;8.82
23;7.88;Cabo Verde;9.17;7.86;6.67;6.88;8.82
23;7.88;Costa Rica;9.58;7.14;6.67;6.88;9.12
26;7.84;Chile;9.58;8.57;4.44;7.5;9.12
26;7.84;Portugal;9.58;7.5;6.11;6.88;9.12
28;7.81;Botswana;9.17;7.14;6.11;7.5;9.12
29;7.8;France;9.58;7.5;7.78;5.63;8.53
30;7.79;Estonia;9.58;7.86;6.11;6.88;8.53
30;7.79;Israel;9.17;7.5;8.89;7.5;5.88
32;7.78;Belgium;9.58;8.93;5;6.88;8.53
33;7.73;Taiwan;9.58;8.21;6.11;5.63;9.12
34;7.62;Czech Republic;9.58;6.43;6.67;6.88;8.53
35;7.59;Cyprus;9.17;6.43;6.67;6.88;8.82
36;7.5;Slovenia;9.58;6.79;6.67;6.25;8.24
37;7.41;Lithuania;9.58;5.71;6.11;6.25;9.41
38;7.29;Greece;9.58;5.36;6.11;6.88;8.53
38;7.29;Jamaica;9.17;7.14;4.44;6.88;8.82
40;7.25;Latvia;9.58;5.71;5.56;6.88;8.53
41;7.24;South Africa;7.42;7.5;8.33;5;7.94
42;7.23;India;9.17;6.79;7.22;5.63;7.35
43;7.19;Timor-Leste;9.08;6.79;5.56;6.88;7.65
