;;;0.333333333333333;0.333333333333333;0.333333333333333
HDI 2016 Score;Rank;Country;Health index;Education index;Income index
0.949;1;Norway;0.9494;0.915765944444444;0.984340381109673
0.939;2;Australia;0.962107692307692;0.93917;0.915343603695307
0.939;2;Switzerland;0.971276923076923;0.891233611111111;0.956849690857377
0.926;4;Germany;0.939876923076923;0.914474739888889;0.92283567731152
0.925;5;Denmark;0.929415384615385;0.923339;0.921213294836357
0.925;5;Singapore;0.972446153846154;0.813524777777778;1
0.924;7;Netherlands;0.949323076923077;0.897135666666667;0.927222270811771
0.923;8;Ireland;0.939261538461539;0.910465937666667;0.918747018356679
0.921;9;Iceland;0.964984615384615;0.906363051666667;0.893534531106302
0.920;10;Canada;0.957292307692308;0.890309384222222;0.914493619784748
0.920;10;United States;0.911107692307692;0.899989399888889;0.948250909923755
0.917;12;Hong Kong, China (SAR);0.987123076923077;0.821724699666667;0.951116819711043
0.915;13;New Zealand;0.954246153846154;0.916766666666667;0.875390299141623
0.913;14;Sweden;0.959184615384615;0.855108301111111;0.92697822652888
0.912;15;Liechtenstein;0.925553846153846;0.818263764333333;1
0.909;16;United Kingdom;0.936138461538462;0.895884555555555;0.897021689455766
0.903;17;Japan;0.979753846153846;0.841591111111111;0.894358565800057
0.901;18;Korea (Republic of);0.955815384615385;0.866738146777778;0.882878750856763
0.899;19;Israel;0.962476923076923;0.869784166666667;0.867584772199701
0.898;20;Luxembourg;0.952015384615385;0.783464718777778;0.972388189497358
0.897;21;France;0.959369230769231;0.839313583777778;0.897636011394728
0.896;22;Belgium;0.938215384615384;0.841456166666667;0.90966880811594
0.895;23;Finland;0.938553846153846;0.846686666666667;0.900709053150055
0.893;24;Austria;0.947430769230769;0.819805584222222;0.918093262052822
0.890;25;Slovenia;0.931923076923077;0.885961888888889;0.854708743240887
0.887;26;Italy;0.974430769230769;0.813911725444445;0.878586469136077
0.884;27;Spain;0.965646153846154;0.818035222222222;0.87496892930003
0.878;28;Czech Republic;0.904230769230769;0.878131666666667;0.851942011578973
0.866;29;Greece;0.939553846153846;0.829579777777778;0.832880905470977
0.865;30;Brunei Darussalam;0.907984615384616;0.715801666666667;0.995592907522613
0.865;30;Estonia;0.877107692307692;0.876658013555555;0.842060876843784
0.858;32;Andorra;0.945507692307692;0.717503118611111;0.932521103664267
0.856;33;Cyprus;0.928184615384615;0.785844611111111;0.858837686396365
0.856;33;Malta;0.934246153846154;0.781115777777778;0.859047969916886
0.856;33;Qatar;0.897276923076923;0.697879333333333;1
0.855;36;Poland;0.886461538461539;0.851595722222222;0.828616479925333
0.848;37;Lithuania;0.823;0.882377555555556;0.840010460080675
0.847;38;Chile;0.953169230769231;0.78365;0.812423687605155
0.847;38;Saudi Arabia;0.8376;0.768480388888889;0.942688644732094
0.845;40;Slovakia;0.867830769230769;0.823254487111111;0.844345420134004
0.843;41;Portugal;0.941276923076923;0.756242333333333;0.840573703121133
0.840;42;United Arab Emirates;0.878753846153846;0.686944444444444;0.981154618359485
0.836;43;Hungary;0.850969230769231;0.833866111111111;0.824020877334408
0.830;44;Latvia;0.836030769230769;0.834939209111111;0.81873049873317
0.827;45;Argentina;0.868569230769231;0.807791666666667;0.80731597069449
0.827;45;Croatia;0.884538461538462;0.797949606222222;0.802525788034395
0.824;47;Bahrain;0.872538461538462;0.716744444444444;0.894230425135738
0.807;48;Montenegro;0.867707692307692;0.796618666666667;0.760954744746562
0.804;49;Russian Federation;0.773292307692308;0.816031611111111;0.823320333177091
0.802;50;Romania;0.843646153846154;0.769297333333333;0.795954990248976
0.800;51;Kuwait;0.839215384615385;0.610512293466667;1
0.796;52;Belarus;0.791753846153846;0.834233388888889;0.763094560528516
0.796;52;Oman;0.876461538461538;0.651690277777778;0.882272389024333
0.795;54;Barbados;0.858046153846154;0.773357872;0.756397156340539
0.795;54;Uruguay;0.882323076923077;0.716853722222222;0.793765588275449
0.794;56;Bulgaria;0.835723076923077;0.777747982555556;0.7690807249462
0.794;56;Kazakhstan;0.762892307692308;0.805085833333333;0.815376153189739
0.792;58;Bahamas;0.854707692307692;0.715039444444444;0.811722002397627
0.789;59;Malaysia;0.844630769230769;0.700362481333333;0.831732522691397
0.788;60;Palau;0.813384615384615;0.807926752666667;0.743970221727911
0.788;60;Panama;0.888538461538461;0.690660972222222;0.796285803567908
0.786;62;Antigua and Barbuda;0.865169230769231;0.694366543244444;0.807042362942747
0.782;63;Seychelles;0.820046153846154;0.706133055555556;0.827163471574595
0.781;64;Mauritius;0.839923076923077;0.724516111111111;0.783988577207454
0.780;65;Trinidad and Tobago;0.777230769230769;0.716865445;0.851431846580673
0.776;66;Costa Rica;0.917123076923077;0.683706000555556;0.746531964289588
0.776;66;Serbia;0.846907692307692;0.759528444444444;0.725701255165118
0.775;68;Cuba;0.916507692307692;0.778842415555556;0.651273526321816
0.774;69;Iran (Islamic Republic of);0.855092307692308;0.704117777777778;0.770319626789612
0.769;70;Georgia;0.846461538461538;0.794463666666667;0.677282703578285
0.767;71;Turkey;0.854276923076923;0.668389360833333;0.790225504293108
0.767;71;Venezuela (Bolivarian Republic of);0.836723076923077;0.710481888888889;0.758175119913381
0.766;73;Sri Lanka;0.846907692307692;0.751812732333333;0.707107544797257
0.765;74;Saint Kitts and Nevis;0.830446153846154;0.659428611111111;0.817705927587685
0.764;75;Albania;0.891815384615385;0.715440333333333;0.699403705084339
0.763;76;Lebanon;0.915953846153846;0.655955637322222;0.738846684512864
0.762;77;Mexico;0.876492307692308;0.654585327766667;0.770208373437494
0.759;78;Azerbaijan;0.783015384615385;0.723400833333333;0.770486140968062
0.754;79;Brazil;0.842276923076923;0.680758888888889;0.748021336525481
0.754;79;Grenada;0.823953846153846;0.724533888888889;0.716777901497543
0.750;81;Bosnia and Herzegovina;0.871292307692308;0.694218888888889;0.697002364128166
0.748;82;The former Yugoslav Republic of Macedonia;0.854338461538461;0.672963535688889;0.728194693131223
0.745;83;Algeria;0.846569230769231;0.658339457422222;0.741338228275493
0.743;84;Armenia;0.8444;0.729513273611111;0.66545955196302
0.743;84;Ukraine;0.7866;0.803186666666667;0.649355721197336
0.741;86;Jordan;0.833461538461538;0.701486805555556;0.697309818052665
0.740;87;Peru;0.843292307692308;0.672291767644444;0.714030035469655
0.740;87;Thailand;0.840246153846154;0.640813888888889;0.751958247012667
0.739;89;Ecuador;0.8634;0.665223333333333;0.703526629875604
0.738;90;China;0.860969230769231;0.630721054188889;0.739230896808988
0.736;91;Fiji;0.771553846153846;0.7766;0.666482421219217
0.735;92;Mongolia;0.766246153846154;0.737375555555556;0.702274893971135
0.735;92;Saint Lucia;0.849215384615385;0.676575820622222;0.692452815117715
0.730;94;Jamaica;0.858769230769231;0.677844119155556;0.668398861710539
